Length;L;M;S;SD3neg;SD2neg;SD1neg;SD0;SD1;SD2;SD3;Gender;;;;;;;;;;;;;;
67,5;-0,3521;7,8526;0,08212;6,2;6,7;7,2;7,9;8,5;9,3;10,2;Male;;;;;;;;;;;;;;
68;-0,3833;7,7448;0,0909;6;6,5;7,1;7,7;8,5;9,4;10,3;Female;;;;;;;;;;;;;;
68;-0,3521;7,9674;0,08214;6,3;6,8;7,3;8;8,7;9,4;10,3;Male;;;;;;;;;;;;;;
68,5;-0,3833;7,8509;0,09085;6,1;6,6;7,2;7,9;8,6;9,5;10,5;Female;;;;;;;;;;;;;;
68,5;-0,3521;8,0816;0,08216;6,4;6,9;7,5;8,1;8,8;9,6;10,5;Male;;;;;;;;;;;;;;
69;-0,3833;7,9559;0,09079;6,1;6,7;7,3;8;8,7;9,6;10,6;Female;;;;;;;;;;;;;;
69;-0,3521;8,1955;0,08219;6,5;7;7,6;8,2;8,9;9,7;10,6;Male;;;;;;;;;;;;;;
69,5;-0,3833;8,0599;0,09074;6,2;6,8;7,4;8,1;8,8;9,7;10,7;Female;;;;;;;;;;;;;;
69,5;-0,3521;8,3092;0,08224;6,6;7,1;7,7;8,3;9;9,8;10,8;Male;;;;;;;;;;;;;;
70;-0,3833;8,163;0,09068;6,3;6,9;7,5;8,2;9;9,9;10,9;Female;;;;;;;;;;;;;;
70;-0,3521;8,4227;0,08229;6,6;7,2;7,8;8,4;9,2;10;10,9;Male;;;;;;;;;;;;;;
70,5;-0,3833;8,2651;0,09062;6,4;6,9;7,6;8,3;9,1;10;11;Female;;;;;;;;;;;;;;
70,5;-0,3521;8,5358;0,08235;6,7;7,3;7,9;8,5;9,3;10,1;11,1;Male;;;;;;;;;;;;;;
71;-0,3833;8,3666;0,09056;6,5;7;7,7;8,4;9,2;10,1;11,1;Female;;;;;;;;;;;;;;
71;-0,3521;8,648;0,08241;6,8;7,4;8;8,6;9,4;10,2;11,2;Male;;;;;;;;;;;;;;
71,5;-0,3833;8,4676;0,0905;6,5;7,1;7,7;8,5;9,3;10,2;11,3;Female;;;;;;;;;;;;;;
71,5;-0,3521;8,7594;0,08248;6,9;7,5;8,1;8,8;9,5;10,4;11,3;Male;;;;;;;;;;;;;;
72;-0,3833;8,5679;0,09043;6,6;7,2;7,8;8,6;9,4;10,3;11,4;Female;;;;;;;;;;;;;;
72;-0,3521;8,8697;0,08254;7;7,6;8,2;8,9;9,6;10,5;11,5;Male;;;;;;;;;;;;;;
72,5;-0,3833;8,6674;0,09037;6,7;7,3;7,9;8,7;9,5;10,5;11,5;Female;;;;;;;;;;;;;;
72,5;-0,3521;8,9788;0,08262;7,1;7,6;8,3;9;9,8;10,6;11,6;Male;;;;;;;;;;;;;;
73;-0,3833;8,7661;0,09031;6,8;7,4;8;8,8;9,6;10,6;11,7;Female;;;;;;;;;;;;;;
73;-0,3521;9,0865;0,08269;7,2;7,7;8,4;9,1;9,9;10,8;11,8;Male;;;;;;;;;;;;;;
73,5;-0,3833;8,8638;0,09025;6,9;7,4;8,1;8,9;9,7;10,7;11,8;Female;;;;;;;;;;;;;;
73,5;-0,3521;9,1927;0,08276;7,2;7,8;8,5;9,2;10;10,9;11,9;Male;;;;;;;;;;;;;;
74;-0,3833;8,9601;0,09018;6,9;7,5;8,2;9;9,8;10,8;11,9;Female;;;;;;;;;;;;;;
74;-0,3521;9,2974;0,08283;7,3;7,9;8,6;9,3;10,1;11;12,1;Male;;;;;;;;;;;;;;
74,5;-0,3833;9,0552;0,09012;7;7,6;8,3;9,1;9,9;10,9;12;Female;;;;;;;;;;;;;;
74,5;-0,3521;9,401;0,08289;7,4;8;8,7;9,4;10,2;11,2;12,2;Male;;;;;;;;;;;;;;
75;-0,3833;9,149;0,09005;7,1;7,7;8,4;9,1;10;11;12,2;Female;;;;;;;;;;;;;;
75;-0,3521;9,5032;0,08295;7,5;8,1;8,8;9,5;10,3;11,3;12,3;Male;;;;;;;;;;;;;;
75,5;-0,3833;9,2418;0,08999;7,1;7,8;8,5;9,2;10,1;11,1;12,3;Female;;;;;;;;;;;;;;
75,5;-0,3521;9,6041;0,08301;7,6;8,2;8,8;9,6;10,4;11,4;12,5;Male;;;;;;;;;;;;;;
76;-0,3833;9,3337;0,08992;7,2;7,8;8,5;9,3;10,2;11,2;12,4;Female;;;;;;;;;;;;;;
76;-0,3521;9,7033;0,08307;7,6;8,3;8,9;9,7;10,6;11,5;12,6;Male;;;;;;;;;;;;;;
76,5;-0,3833;9,4252;0,08985;7,3;7,9;8,6;9,4;10,3;11,4;12,5;Female;;;;;;;;;;;;;;
76,5;-0,3521;9,8007;0,08311;7,7;8,3;9;9,8;10,7;11,6;12,7;Male;;;;;;;;;;;;;;
77;-0,3833;9,5166;0,08979;7,4;8;8,7;9,5;10,4;11,5;12,6;Female;;;;;;;;;;;;;;
77;-0,3521;9,8963;0,08314;7,8;8,4;9,1;9,9;10,8;11,7;12,8;Male;;;;;;;;;;;;;;
77,5;-0,3833;9,6086;0,08972;7,4;8,1;8,8;9,6;10,5;11,6;12,8;Female;;;;;;;;;;;;;;
77,5;-0,3521;9,9902;0,08317;7,9;8,5;9,2;10;10,9;11,9;13;Male;;;;;;;;;;;;;;
78;-0,3833;9,7015;0,08965;7,5;8,2;8,9;9,7;10,6;11,7;12,9;Female;;;;;;;;;;;;;;
78;-0,3521;10,0827;0,08318;7,9;8,6;9,3;10,1;11;12;13,1;Male;;;;;;;;;;;;;;
78,5;-0,3833;9,7957;0,08959;7,6;8,2;9;9,8;10,7;11,8;13;Female;;;;;;;;;;;;;;
78,5;-0,3521;10,1741;0,08318;8;8,7;9,4;10,2;11,1;12,1;13,2;Male;;;;;;;;;;;;;;
79;-0,3833;9,8915;0,08952;7,7;8,3;9,1;9,9;10,8;11,9;13,1;Female;;;;;;;;;;;;;;
79;-0,3521;10,2649;0,08316;8,1;8,7;9,5;10,3;11,2;12,2;13,3;Male;;;;;;;;;;;;;;
79,5;-0,3833;9,9892;0,08946;7,7;8,4;9,1;10;10,9;12;13,3;Female;;;;;;;;;;;;;;
79,5;-0,3521;10,3558;0,08313;8,2;8,8;9,5;10,4;11,3;12,3;13,4;Male;;;;;;;;;;;;;;
80;-0,3833;10,0891;0,0894;7,8;8,5;9,2;10,1;11;12,1;13,4;Female;;;;;;;;;;;;;;
80;-0,3521;10,4475;0,08308;8,2;8,9;9,6;10,4;11,4;12,4;13,6;Male;;;;;;;;;;;;;;
80,5;-0,3833;10,1916;0,08934;7,9;8,6;9,3;10,2;11,2;12,3;13,5;Female;;;;;;;;;;;;;;
80,5;-0,3521;10,5405;0,08301;8,3;9;9,7;10,5;11,5;12,5;13,7;Male;;;;;;;;;;;;;;
81;-0,3833;10,2965;0,08928;8;8,7;9,4;10,3;11,3;12,4;13,7;Female;;;;;;;;;;;;;;
81;-0,3521;10,6352;0,08293;8,4;9,1;9,8;10,6;11,6;12,6;13,8;Male;;;;;;;;;;;;;;
81,5;-0,3833;10,4041;0,08923;8,1;8,8;9,5;10,4;11,4;12,5;13,8;Female;;;;;;;;;;;;;;
81,5;-0,3521;10,7322;0,08284;8,5;9,1;9,9;10,7;11,7;12,7;13,9;Male;;;;;;;;;;;;;;
82;-0,3833;10,514;0,08918;8,1;8,8;9,6;10,5;11,5;12,6;13,9;Female;;;;;;;;;;;;;;
82;-0,3521;10,8321;0,08273;8,5;9,2;10;10,8;11,8;12,8;14;Male;;;;;;;;;;;;;;
82,5;-0,3833;10,6263;0,08914;8,2;8,9;9,7;10,6;11,6;12,8;14,1;Female;;;;;;;;;;;;;;
82,5;-0,3521;10,935;0,0826;8,6;9,3;10,1;10,9;11,9;13;14,2;Male;;;;;;;;;;;;;;
83;-0,3833;10,741;0,0891;8,3;9;9,8;10,7;11,8;12,9;14,2;Female;;;;;;;;;;;;;;
